wvl	c7101904
250	0.931984
251	0.932179
252	0.933654
253	0.933625
254	0.934164
255	0.935395
256	0.936667
257	0.938969
258	0.941084
259	0.942195
260	0.942618
261	0.943661
262	0.945784
263	0.948421
264	0.951572
265	0.951793
266	0.953726
267	0.954829
268	0.956939
269	0.957377
270	0.957457
271	0.956885
272	0.9617
273	0.963118
274	0.965623
275	0.96705
276	0.968018
277	0.969248
278	0.96921
279	0.969196
280	0.973401
281	0.971559
282	0.970186
283	0.975448
284	0.98055
285	0.980398
286	0.978766
287	0.978858
288	0.981817
289	0.983904
290	0.983649
291	0.984442
292	0.986487
293	0.984348
294	0.984005
295	0.983362
296	0.983039
297	0.984859
298	0.985066
299	0.986752
300	0.987781
301	0.988732
302	0.988306
303	0.990002
304	0.988959
305	0.986907
306	0.989299
307	0.989193
308	0.990908
309	0.993604
310	0.99029
311	0.988102
312	0.987855
313	0.987231
314	0.987704
315	0.986602
316	0.987029
317	0.986137
318	0.986149
319	0.986308
320	0.984567
321	0.986007
322	0.983755
323	0.980465
324	0.986941
325	0.993409
326	0.988775
327	0.987678
328	0.989238
329	0.985603
330	0.986571
331	0.989183
332	0.989934
333	0.990593
334	0.986606
335	0.980875
336	0.981097
337	0.984318
338	0.982797
339	0.983871
340	0.985972
341	0.983854
342	0.984985
343	0.985901
344	0.985146
345	0.984827
346	0.981343
347	0.97792
348	0.981262
349	0.983712
350	0.983753
351	0.979616
352	0.980627
353	0.981076
354	0.980441
355	0.982521
356	0.980782
357	0.978851
358	0.981182
359	0.981128
360	0.980458
361	0.984127
362	0.986633
363	0.987002
364	0.98719
365	0.990298
366	0.988741
367	0.984664
368	0.986555
369	0.99037
370	0.994552
371	0.992831
372	0.991052
373	0.988019
374	0.986382
375	0.984946
376	0.987599
377	0.994999
378	0.991986
379	0.984523
380	0.98458
381	0.986114
382	0.986504
383	0.988061
384	0.988196
385	0.985912
386	0.986547
387	0.98695
388	0.985555
389	0.985158
390	0.985788
391	0.988658
392	0.989759
393	0.988991
394	0.986979
395	0.987445
396	0.986828
397	0.9871
398	0.989379
399	0.990963
400	0.989562
401	0.987559
402	0.989389
403	0.989044
404	0.988313
405	0.989919
406	0.991752
407	0.990473
408	0.989718
409	0.990549
410	0.991928
411	0.989699
412	0.987541
413	0.987839
414	0.989041
415	0.989052
416	0.988711
417	0.988776
418	0.989043
419	0.989806
420	0.990567
421	0.990852
422	0.989936
423	0.989675
424	0.990964
425	0.990322
426	0.990721
427	0.992793
428	0.993185
429	0.994145
430	0.992814
431	0.991234
432	0.992102
433	0.991216
434	0.990334
435	0.991618
436	0.990698
437	0.989922
438	0.990991
439	0.991626
440	0.991407
441	0.991247
442	0.991748
443	0.992087
444	0.992807
445	0.993309
446	0.993323
447	0.992724
448	0.99108
449	0.989716
450	0.992244
451	0.993104
452	0.993103
453	0.992286
454	0.99224
455	0.991997
456	0.992343
457	0.992361
458	0.992768
459	0.992842
460	0.991859
461	0.991562
462	0.992414
463	0.992701
464	0.991631
465	0.990681
466	0.991322
467	0.992017
468	0.992461
469	0.992704
470	0.992296
471	0.992367
472	0.992467
473	0.992786
474	0.992061
475	0.992499
476	0.992702
477	0.992673
478	0.992449
479	0.992784
480	0.992224
481	0.993623
482	0.99268
483	0.991418
484	0.993389
485	0.993087
486	0.991224
487	0.991627
488	0.99278
489	0.993062
490	0.99108
491	0.990233
492	0.992127
493	0.991388
494	0.992089
495	0.992702
496	0.992333
497	0.991631
498	0.993187
499	0.993607
500	0.99271
501	0.992698
502	0.993177
503	0.992471
504	0.991661
505	0.9915
506	0.992288
507	0.993066
508	0.993172
509	0.992286
510	0.992416
511	0.992598
512	0.992202
513	0.99199
514	0.992079
515	0.991885
516	0.992189
517	0.992251
518	0.991511
519	0.990873
520	0.991398
521	0.992344
522	0.992855
523	0.992617
524	0.991537
525	0.991492
526	0.99243
527	0.993805
528	0.992789
529	0.992068
530	0.992038
531	0.992877
532	0.993691
533	0.993401
534	0.993349
535	0.993329
536	0.992923
537	0.992625
538	0.992907
539	0.992765
540	0.992539
541	0.991992
542	0.992941
543	0.993467
544	0.992671
545	0.99197
546	0.992964
547	0.993468
548	0.99258
549	0.99184
550	0.992377
551	0.992985
552	0.99176
553	0.991201
